tconst,titleType,originalTitle,title,startYear,runtimeMinutes,averageRating,numVotes,Main_genre,Sub_genre_1,Sub_genre_2,Directors,birthYear,deathYear,Actor_1,Actor_2,Actor_3,Actor_4,Actor_5
tt0100135,movie,Men at Work,Men at Work,1990,98,6.0,22987.0,Crime,Comedy,Action,Emilio Estevez,1962.0,0.0,Tim Alexander,Shawn Barry,Cathy Chazan,Janice Clayton,Dave Henley
tt0100140,movie,Mermaids,Les 2 sirènes,1990,110,6.7,29056.0,Romance,Drama,Comedy,Richard Benjamin,1938.0,0.0,Cher,Gail Baldoni,Alex Davis,Michelle Faith,Michael Fitzpatrick
tt0100150,movie,Miller's Crossing,Miller's Crossing,1990,115,7.7,127060.0,Thriller,Drama,Crime,,,,Gabriel Byrne,Michael Badalucco,Sonny Burke,David Darlow,James DeMeaux
tt0100157,movie,Misery,Misery,1990,107,7.8,187419.0,Thriller,Drama,,Rob Reiner,1947.0,0.0,George Baetz,Wolfgang Bodison,Graham Jarvis,David Keane,Ken Lubin
tt0100212,movie,My Blue Heaven,Un pourri au paradis,1990,97,6.3,19037.0,Crime,Comedy,,Herbert Ross,1927.0,2001.0,Julie Bovasso,Darren Chuckry,John Harnagel,Spencer Henderson,Seth Jaffe
tt0100232,movie,Navy Seals,Navy Seals: Les Meilleurs,1990,113,5.6,15879.0,Thriller,Adventure,Action,Lewis Teague,1938.0,0.0,Nicole Massie,David Blattel,Jane E. Carpenter,Pedro Durán,Nan Garcia-Wood
tt0100234,movie,Nema-ye Nazdik,Close-Up,1990,98,8.3,16630.0,Drama,Crime,Biography,Abbas Kiarostami,1940.0,2016.0,Hossain Farazmand,Mohammad Haghighi,Ahmad Reza Moayed Mohseni,Hossain Sabzian,Hossain Farazmand
tt0100240,movie,The NeverEnding Story II: The Next Chapter,L'Histoire sans fin II : Un nouveau chapitre,1990,90,5.2,24663.0,Family,Drama,Adventure,George Miller,1943.0,0.0,Andreas Borcherding,Stuart Ennis,Hannelore Faber,Helmut Fodschuk,Colin Gilder
tt0100258,movie,Night of the Living Dead,La nuit des morts-vivants,1990,92,6.9,39169.0,Horror,,,Tom Savini,1946.0,0.0,Leonard Bishop,Everett Burrell,David W. Butler,Bill Cardille,Tim Carrier
tt0100260,movie,Nightbreed,Cabal,1990,102,6.6,20289.0,Horror,Fantasy,Action,Clive Barker,1952.0,0.0,Steve Allett,Anne Bobby,Edwin M. Brewer,Tom Cortese,Ken Fleming
tt0100263,movie,Nikita,Nikita,1990,117,7.3,68040.0,Thriller,Action,,Luc Besson,1959.0,0.0,Isabelle Adnot,Michel Barlier,Xavier Buffin,Lise Bèraha,Patrick Camboulive
tt0100318,movie,Pacific Heights,Fenêtre sur Pacifique,1990,102,6.4,18478.0,Thriller,,,John Schlesinger,1926.0,2003.0,Linda Austin,Jill Bedford,Gail Crosby,John Diaz,Frank DiElsi
tt0100395,movie,Postcards from the Edge,Bons baisers d'Hollywood,1990,101,6.7,15778.0,Drama,Comedy,,Mike Nichols,1931.0,2014.0,Gloria Crayton,Bazil Donovan,Mark Lowenthal,Gloria Crayton,Bazil Donovan
tt0100403,movie,Predator 2,Predator 2,1990,108,6.3,148528.0,Sci-Fi,Horror,Action,Stephen Hopkins,1958.0,0.0,Maria Conchita Alonso,Peter Levy,Lila Finn,Bruce Gattenbein,Cody Glenn
tt0100404,movie,Presumed Innocent,Présumé innocent,1990,127,6.9,38295.0,Thriller,Mystery,,Alan J. Pakula,1928.0,1998.0,Martha Appel,John M. Bennett,Thom Cagle,Allison Field,James Fitzpatrick
tt0100405,movie,Pretty Woman,Pretty Woman,1990,119,7.0,294589.0,Romance,Comedy,,Garry Marshall,1934.0,2016.0,Hector Elizondo,Natalie Cole,Adell Aldrich,Daniel Bardol,Marvin Braverman
tt0100419,movie,Problem Child,Junior le terrible,1990,81,5.5,28991.0,Family,Comedy,,Dennis Dugan,1946.0,0.0,Melissa Reneé Martin,Daniel Anaya,Lee Arnone,Linda M. Beale,Cody Beard
tt0100436,movie,Pump Up the Volume,Pump Up the Volume,1990,102,7.2,26677.0,Music,Drama,Comedy,Allan Moyle,1947.0,0.0,Thalia Harithas,Jessica Allen,Aaron Anderson,Lennie Appelquist,Don Dwyer
tt0100449,movie,Quick Change,Hold-up à New York,1990,89,6.8,19296.0,Crime,Comedy,,,,,Kimberleigh Aarn,Sam Ayers,Marya D. Dornya,Bob Elliott,Michelle Lucien
tt0100485,movie,Revenge,Revenge,1990,124,6.3,16945.0,Drama,Crime,Action,Tony Scott,1944.0,2012.0,Guillermo 'Memo' Carreno,Curtis Edge,Jeffrey Alan Fiskin,Salvador Garcini,Kathleen Hughes
tt0100486,movie,Reversal of Fortune,Le mystère Von Bülow,1990,111,7.2,15046.0,Mystery,Drama,Biography,Barbet Schroeder,1941.0,0.0,Dennis Farnon,Alan Gershenfeld,Joseph Hooven,Diana Hrabowecki,Bernt Kuhlmann
tt0100502,movie,RoboCop 2,RoboCop 2,1990,117,5.8,81952.0,Sci-Fi,Crime,Action,Irvin Kershner,1923.0,2010.0,Leonard Rosenman,Ross Anderson,Greg Ballora,Angie Bolling,Tina Brawner
tt0100507,movie,Rocky V,Rocky V,1990,104,5.3,128595.0,Sport,Drama,,John G. Avildsen,1935.0,2017.0,John G. Avildsen,Brett Bouldin,Lesley Brander,Richard Brander,Carole Brown-James
tt0100514,movie,The Rookie,La relève,1990,120,5.9,25671.0,Drama,Crime,Action,Clint Eastwood,1930.0,0.0,Nick Ballo,Kathy Brock,Paul Butler,Mara Corday,Wayne Edgar
tt0100519,movie,Rosencrantz & Guildenstern Are Dead,Rosencrantz & Guildenstern sont morts,1990,117,7.4,21003.0,Drama,Comedy,,Tom Stoppard,1937.0,0.0,Zorislav Augustic,Josip Boljkovac,Velinka Ficor,Brian Gulland,Drago Habazin
tt0100685,movie,State of Grace,Les anges de la nuit,1990,134,7.2,21043.0,Drama,Crime,Action,Phil Joanou,1961.0,0.0,Carol Bauer,Arthur F. Boyd,Freddi Chandler,Ben Fine,Lou Gallo
tt0100740,movie,Tales from the Darkside: The Movie,"Darkside, les contes de la nuit noire",1990,93,6.3,15607.0,Horror,Fantasy,Comedy,John Harrison,0.0,0.0,Joseph Caffrey,Brian Greenbaum,John Harrison,Larry Hillier,Jim Manzie
tt0100758,movie,Teenage Mutant Ninja Turtles,Les tortues ninja,1990,93,6.8,86301.0,Comedy,Adventure,Action,Steve Barron,1956.0,0.0,Xenia Beith,Mary Bridges,Mike Casey,Hank P. Constantineau,John Ferguson
tt0100802,movie,Total Recall,Total Recall : Voyage au centre de la mémoire,1990,113,7.5,305840.0,Thriller,Sci-Fi,Action,Paul Verhoeven,1938.0,0.0,Philip K. Dick,Christopher Duddy,Armando Amador,Alejandro Avendano,Anuar Badin
tt0100814,movie,Tremors,Tremors,1990,96,7.1,121985.0,Horror,Comedy,,Ron Underwood,1953.0,0.0,Ariana Richards,Tony Alderson,Conrad Bachmann,Paul Berg,Debra Combs
